Station_A,Station_B,Capacity,Service
Casa Branca,Monte das Flores,8,STANDARD
Monte das Flores,Evora,8,STANDARD
Evora,Portalegre,10,STANDARD
Funcheira,Santa Clara-Saboia,4,ALFA PENDULAR
Alferrarede,Mouriscas,6,STANDARD
Mouriscas,Mouriscas-A,6,STANDARD
Mouriscas-A,Alvega-Ortiga,2,STANDARD
Alvega-Ortiga,Barragem de Belver,2,STANDARD
Barragem de Belver,Belver,6,STANDARD
Belver,Barca da Amieira -Envendos,6,STANDARD
Barca da Amieira -Envendos,Fratel,6,STANDARD
Fratel,Rodao,4,STANDARD
Rodao,Tojeirinha,2,STANDARD
Tojeirinha,Sarnadas,4,STANDARD
Sarnadas,Retaxo,2,STANDARD
Retaxo,Benquerencas,2,STANDARD
Benquerencas,Alcains,10,STANDARD
Alcains,Lardosa,10,STANDARD
Lardosa,Soalheira,2,STANDARD
Soalheira,Castelo Novo,4,STANDARD
Castelo Novo,Alpedrinha,2,STANDARD
Alpedrinha,Vale de Prazeres,4,STANDARD
Vale de Prazeres,Fatela-Penamacor,2,STANDARD
Fatela-Penamacor,Alcaide,2,STANDARD
Alcaide,Donas,2,STANDARD
Donas,Fundao,4,STANDARD
Fundao,Alcaria,2,STANDARD
Alcaria,Tortosendo,6,STANDARD
Tortosendo,Covilha,4,STANDARD
Covilha,Caria,2,STANDARD
Caria,Belmonte-Manteigas,4,STANDARD
Belmonte-Manteigas,Macainhas,2,STANDARD
Macainhas,Benespera,2,STANDARD
Benespera,Barracao-Sabugal,2,STANDARD
Lisboa Santa Apolonia,Braco de Prata,10,STANDARD
Braco de Prata,Sacavem,2,STANDARD
Sacavem,Bobadela,2,STANDARD
Bobadela,Santa Iria,2,STANDARD
Santa Iria,Povoa,2,STANDARD
Povoa,Alhandra,4,STANDARD
Alhandra,Vila Franca de Xira,2,STANDARD
Vila Franca de Xira,Castanheira do Ribatejo,4,STANDARD
Castanheira do Ribatejo,Carregado,2,STANDARD
Carregado,Carregado Norte,4,STANDARD
Carregado Norte,Vila Nova da Rainha,2,STANDARD
Vila Nova da Rainha,Espadanal da Azambuja,2,STANDARD
Espadanal da Azambuja,Virtudes,2,STANDARD
Virtudes,Reguengo - Vale da Pedra - Pontevel,2,STANDARD
Reguengo - Vale da Pedra - Pontevel,Santana Cartaxo,2,STANDARD
Santana Cartaxo,Santana Cartaxo Resguardo,4,STANDARD
Santana Cartaxo Resguardo,Vale de Santarem,2,STANDARD
Vale de Santarem,Santarem,8,STANDARD
Santarem,Vale de Figueira,8,STANDARD
Vale de Figueira,Mato Miranda,6,STANDARD
Mato Miranda,Riachos - Torres Novas - Golega,6,STANDARD
